graph_id,node_id,predicted_score,target_score,predicted_position,target_position,absolute_position_error
jac_pat,0,1.22445809841156,0.738095223903656,17,11,6
jac_pat,1,1.2672730684280396,0.7142857313156128,2,12,10
jac_pat,2,1.26727294921875,0.6904761791229248,6,13,7
jac_pat,3,1.26727294921875,0.6666666865348816,7,14,7
jac_pat,4,1.5940196514129639,1.0,0,0,0
jac_pat,5,1.2282181978225708,0.976190447807312,8,1,7
jac_pat,6,0.5368331670761108,0.5,21,21,0
jac_pat,7,0.5368331670761108,0.4761904776096344,22,22,0
jac_pat,8,0.2598687708377838,0.4047619104385376,25,25,0
jac_pat,9,0.2598687708377838,0.380952388048172,26,26,0
jac_pat,10,1.2282181978225708,0.9523809552192688,9,2,7
jac_pat,11,1.2282181978225708,0.9285714030265808,15,3,12
jac_pat,12,1.2282181978225708,0.9047619104385376,16,4,12
jac_pat,13,0.2598687708377838,0.3571428656578064,27,27,0
jac_pat,14,1.2244579792022705,0.6428571343421936,19,15,4
jac_pat,15,1.2672730684280396,0.6190476417541504,4,16,12
jac_pat,16,1.26727294921875,0.5952380895614624,5,17,12
jac_pat,17,1.2672730684280396,0.5476190447807312,3,19,16
jac_pat,18,1.5940196514129639,0.761904776096344,1,10,9
jac_pat,19,1.2282181978225708,0.8809523582458496,12,5,7
jac_pat,20,0.5368331670761108,0.4523809552192688,23,23,0
jac_pat,21,0.5368331670761108,0.4285714328289032,24,24,0
jac_pat,22,0.2598687708377838,0.3333333432674408,33,28,5
jac_pat,23,0.2598687708377838,0.3095238208770752,28,29,1
jac_pat,24,1.2282181978225708,0.8571428656578064,10,6,4
jac_pat,25,1.2282181978225708,0.8333333134651184,11,7,4
jac_pat,26,1.2282181978225708,0.8095238208770752,14,8,6
jac_pat,27,0.2598687708377838,0.2857142984867096,29,30,1
jac_pat,28,0.2598687708377838,0.261904776096344,30,31,1
jac_pat,29,1.22445809841156,0.5714285969734192,18,18,0
jac_pat,30,1.0018678903579712,0.523809552192688,20,20,0
jac_pat,31,0.2598687708377838,0.2380952388048172,31,32,1
jac_pat,32,0.2598687708377838,0.2142857164144516,32,33,1
jac_pat,33,1.2282181978225708,0.7857142686843872,13,9,4
jac_pat,34,0.2598687708377838,0.190476194024086,34,34,0
jac_pat,35,0.2598687708377838,0.1666666716337204,35,35,0
jac_pat,36,0.2598687708377838,0.1428571492433548,36,36,0
jac_pat,37,0.2598687708377838,0.1190476194024086,37,37,0
jac_pat,38,0.2598687708377838,0.095238097012043,38,38,0
jac_pat,39,0.2598687708377838,0.0714285746216774,39,39,0
jac_pat,40,0.2598687708377838,0.0476190485060215,40,40,0
jac_pat,41,0.2598687708377838,0.02380952425301075,41,41,0
jac_pat,42,0.2598687708377838,0.0,42,42,0
