Requested ordering: DYNAMIC_LARGEST_FIRST
Coloring distance: DISTANCE_ONE
Input graph: C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\bcsstk05.mtx

 Coloring | DYNAMIC_LARGEST_FIRST Ordering | C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\bcsstk05.mtx


[Total Colors = 9]
[Vertex Count = 153; Edge Count = 1135]
[Ordering Time = 0; Coloring Time = 0]

Number of ordered vertices: 153
Order Position 0 -> Vertex 140
Order Position 1 -> Vertex 137
Order Position 2 -> Vertex 135
Order Position 3 -> Vertex 132
Order Position 4 -> Vertex 138
Order Position 5 -> Vertex 116
Order Position 6 -> Vertex 107
Order Position 7 -> Vertex 110
Order Position 8 -> Vertex 113
Order Position 9 -> Vertex 92
Order Position 10 -> Vertex 89
Order Position 11 -> Vertex 86
Order Position 12 -> Vertex 83
Order Position 13 -> Vertex 82
Order Position 14 -> Vertex 85
Order Position 15 -> Vertex 88
Order Position 16 -> Vertex 91
Order Position 17 -> Vertex 112
Order Position 18 -> Vertex 109
Order Position 19 -> Vertex 105
Order Position 20 -> Vertex 114
Order Position 21 -> Vertex 133
Order Position 22 -> Vertex 134
Order Position 23 -> Vertex 115
Order Position 24 -> Vertex 106
Order Position 25 -> Vertex 108
Order Position 26 -> Vertex 111
Order Position 27 -> Vertex 90
Order Position 28 -> Vertex 87
Order Position 29 -> Vertex 84
Order Position 30 -> Vertex 81
Order Position 31 -> Vertex 139
Order Position 32 -> Vertex 136
Order Position 33 -> Vertex 129
Order Position 34 -> Vertex 1
Order Position 35 -> Vertex 131
Order Position 36 -> Vertex 0
Order Position 37 -> Vertex 130
Order Position 38 -> Vertex 61
Order Position 39 -> Vertex 58
Order Position 40 -> Vertex 55
Order Position 41 -> Vertex 52
Order Position 42 -> Vertex 31
Order Position 43 -> Vertex 28
Order Position 44 -> Vertex 25
Order Position 45 -> Vertex 22
Order Position 46 -> Vertex 2
Order Position 47 -> Vertex 33
Order Position 48 -> Vertex 41
Order Position 49 -> Vertex 72
Order Position 50 -> Vertex 63
Order Position 51 -> Vertex 18
Order Position 52 -> Vertex 35
Order Position 53 -> Vertex 26
Order Position 54 -> Vertex 65
Order Position 55 -> Vertex 74
Order Position 56 -> Vertex 39
Order Position 57 -> Vertex 29
Order Position 58 -> Vertex 24
