graph_id,selected_ordering,selected_num_colors,node_id,order_position,target_score,source_file
ash85,INCIDENCE_DEGREE,4,38,0,1.0,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,69,1,0.9880952380952381,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,68,2,0.9761904761904762,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,37,3,0.9642857142857143,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,66,4,0.9523809523809523,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,67,5,0.9404761904761905,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,65,6,0.9285714285714286,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,34,7,0.9166666666666666,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,64,8,0.9047619047619048,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,33,9,0.8928571428571429,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,35,10,0.8809523809523809,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,36,11,0.8690476190476191,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,25,12,0.8571428571428571,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,26,13,0.8452380952380952,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,27,14,0.8333333333333334,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,28,15,0.8214285714285714,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,39,16,0.8095238095238095,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,40,17,0.7976190476190477,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,70,18,0.7857142857142857,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,41,19,0.7738095238095238,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,29,20,0.7619047619047619,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,42,21,0.75,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,49,22,0.7380952380952381,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,71,23,0.7261904761904762,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,72,24,0.7142857142857143,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,50,25,0.7023809523809523,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,60,26,0.6904761904761905,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,61,27,0.6785714285714286,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,77,28,0.6666666666666666,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,75,29,0.6547619047619048,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,73,30,0.6428571428571429,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,74,31,0.6309523809523809,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,76,32,0.6190476190476191,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,78,33,0.6071428571428571,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,58,34,0.5952380952380952,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,59,35,0.5833333333333334,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,48,36,0.5714285714285714,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,30,37,0.5595238095238095,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,47,38,0.5476190476190477,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,16,39,0.5357142857142857,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
ash85,INCIDENCE_DEGREE,4,17,40,0.5238095238095238,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt
