graph_id,node_id,order_position,target_score,known_color,selected_ordering,selected_num_colors,known_chromatic_number,split,graph_family,num_components_joined,component_cycle_sizes,score_convention
week18_controlled_mixed_join_2_c20_c26,0,0,1.0,0,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,1,6,0.8666666666666667,1,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,2,12,0.7333333333333334,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,3,1,0.9777777777777777,0,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,4,7,0.8444444444444444,1,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,5,13,0.7111111111111111,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,6,2,0.9555555555555556,0,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,7,8,0.8222222222222222,1,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,8,14,0.6888888888888889,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,9,3,0.9333333333333333,0,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,10,9,0.8,1,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,11,15,0.6666666666666667,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,12,4,0.9111111111111111,0,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,13,10,0.7777777777777778,1,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,14,16,0.6444444444444444,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,15,5,0.8888888888888888,0,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,16,18,0.6,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,17,11,0.7555555555555555,1,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,18,17,0.6222222222222222,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,19,19,0.5777777777777777,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,20,20,0.5555555555555556,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,21,28,0.37777777777777777,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,22,36,0.19999999999999996,6,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,23,21,0.5333333333333333,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,24,29,0.3555555555555555,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,25,37,0.1777777777777778,6,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,26,22,0.5111111111111111,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,27,30,0.33333333333333337,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,28,38,0.15555555555555556,6,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,29,23,0.48888888888888893,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,30,31,0.3111111111111111,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,31,39,0.1333333333333333,6,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
week18_controlled_mixed_join_2_c20_c26,32,24,0.4666666666666667,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,8,8,train,mixed_join_of_cycle_square_hard_cases,2,20;26,higher_score_processed_earlier
