graph_id,node_id,order_position,target_score,selected_ordering,selected_num_colors,known_chromatic_number,split,graph_family
week17_cycle_square_c8,0,0,1.0,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c8,3,1,0.8571428571428572,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c8,1,2,0.7142857142857143,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c8,5,3,0.5714285714285714,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c8,2,4,0.4285714285714286,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c8,6,5,0.2857142857142857,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c8,4,6,0.1428571428571429,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c8,7,7,0.0,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,0,0,1.0,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,3,1,0.9,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,6,2,0.8,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,1,3,0.7,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,4,4,0.6,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,8,5,0.5,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,2,6,0.4,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,5,7,0.30000000000000004,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,9,8,0.19999999999999996,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,7,9,0.09999999999999998,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c11,10,10,0.0,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,0,0,1.0,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,3,1,0.9230769230769231,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,6,2,0.8461538461538461,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,9,3,0.7692307692307692,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,1,4,0.6923076923076923,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,4,5,0.6153846153846154,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,7,6,0.5384615384615384,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,11,7,0.46153846153846156,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,2,8,0.3846153846153846,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,5,9,0.3076923076923077,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,8,10,0.23076923076923073,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,12,11,0.15384615384615385,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,10,12,0.07692307692307687,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c14,13,13,0.0,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,train,cycle_square_3r_plus_2
week17_cycle_square_c17,0,0,1.0,EXACT_OPTIMAL_COLOR_CLASS_ORDER,4,4,test,cycle_square_3r_plus_2
