graph_id,family,selected_teacher_ordering,selected_teacher_num_colors,best_colpack5_orderings,num_best_orderings,node_id,order_position,target_score,num_vertices,matrix_path,source_file
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,19,0,1.0,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,9,1,0.9473684210526315,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,7,2,0.8947368421052632,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,15,3,0.8421052631578947,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,5,4,0.7894736842105263,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,13,5,0.7368421052631579,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,3,6,0.6842105263157895,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,17,7,0.631578947368421,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,1,8,0.5789473684210527,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,11,9,0.5263157894736842,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,18,10,0.47368421052631576,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,16,11,0.42105263157894735,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
week18_crown_m10_alternating,crown,DYNAMIC_LARGEST_FIRST,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,14,12,0.3684210526315789,20,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,data\processed\initial_graph_coloring_dataset\colpack_outputs_week18_heterogeneous_generalization\week18_crown_m10_alternating_dynamic_largest_first.txt
