graph_id,node_id,known_color,existing_target_score,split,label_source
week17_gap_cycle_square_c41,0,0,1.0,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,1,1,0.675000011920929,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,2,2,0.3499999940395355,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,3,0,0.9750000238418579,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,4,1,0.6499999761581421,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,5,2,0.32499998807907104,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,6,0,0.949999988079071,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,7,1,0.625,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,8,2,0.30000001192092896,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,9,0,0.925000011920929,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,10,1,0.6000000238418579,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,11,2,0.2750000059604645,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,12,0,0.8999999761581421,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,13,1,0.574999988079071,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,14,2,0.25,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,15,0,0.875,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,16,1,0.550000011920929,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,17,2,0.22499999403953552,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,18,0,0.8500000238418579,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,19,1,0.5249999761581421,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,20,2,0.20000000298023224,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,21,0,0.824999988079071,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,22,1,0.5,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,23,2,0.17499999701976776,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,24,0,0.800000011920929,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,25,1,0.4749999940395355,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,26,2,0.15000000596046448,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,27,0,0.7749999761581421,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,28,1,0.44999998807907104,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,29,2,0.125,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,30,0,0.75,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,31,1,0.42500001192092896,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,32,2,0.10000000149011612,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,33,0,0.7250000238418579,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,34,1,0.4000000059604645,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,35,2,0.07500000298023224,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,36,0,0.699999988079071,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,37,3,0.02500000037252903,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,38,1,0.375,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,39,2,0.05000000074505806,test,reconstructed_week17_exact_formula
week17_gap_cycle_square_c41,40,3,0.0,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,0,0,1.0,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,1,1,0.8395061492919922,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,2,2,0.6790123581886292,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,3,0,0.9876543283462524,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,4,1,0.8271604776382446,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,5,2,0.6666666865348816,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,6,0,0.9753086566925049,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,7,1,0.8148148059844971,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,8,2,0.654321014881134,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,9,0,0.9629629850387573,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,10,1,0.8024691343307495,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,11,2,0.6419752836227417,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,12,0,0.9506173133850098,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,13,1,0.790123462677002,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,14,2,0.6296296119689941,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,15,0,0.9382715821266174,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,16,1,0.7777777910232544,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,17,2,0.6172839403152466,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,18,0,0.9259259104728699,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,19,1,0.7654321193695068,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,20,2,0.604938268661499,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,21,0,0.9135802388191223,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,22,1,0.7530864477157593,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,23,2,0.5925925970077515,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,24,0,0.9012345671653748,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,25,1,0.7407407164573669,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,26,2,0.5802469253540039,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,27,0,0.8888888955116272,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,28,1,0.7283950448036194,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,29,2,0.5679012537002563,test,reconstructed_week17_exact_formula
week17_gap_join_c41_join_2,30,0,0.8765432238578796,test,reconstructed_week17_exact_formula
