graph_id,selected_ordering,selected_num_colors,node_id,order_position,target_score,source_file,target_strategy,ordering_name
ash85,INCIDENCE_DEGREE,4.0,38,0,1.0,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,69,1,0.988095238095238,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,68,2,0.9761904761904762,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,37,3,0.9642857142857144,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,66,4,0.9523809523809524,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,67,5,0.9404761904761904,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,65,6,0.9285714285714286,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,34,7,0.9166666666666666,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,64,8,0.9047619047619048,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,33,9,0.8928571428571429,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,35,10,0.8809523809523809,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,36,11,0.8690476190476191,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,25,12,0.8571428571428571,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,26,13,0.8452380952380952,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,27,14,0.8333333333333334,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,28,15,0.8214285714285714,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,39,16,0.8095238095238095,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,40,17,0.7976190476190477,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,70,18,0.7857142857142857,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,41,19,0.7738095238095238,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,29,20,0.7619047619047619,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,42,21,0.75,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,49,22,0.7380952380952381,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,71,23,0.7261904761904762,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,72,24,0.7142857142857143,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,50,25,0.7023809523809523,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,60,26,0.6904761904761905,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,61,27,0.6785714285714286,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,77,28,0.6666666666666666,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,75,29,0.6547619047619048,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,73,30,0.6428571428571429,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,74,31,0.6309523809523809,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,76,32,0.6190476190476191,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,78,33,0.6071428571428571,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
ash85,INCIDENCE_DEGREE,4.0,58,34,0.5952380952380952,data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,,
