graph_id,selected_ordering,selected_num_colors,node_id,order_position,target_score,source_file,benchmark_source
ash85,INCIDENCE_DEGREE,4,38,0,1.0,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,69,1,0.9880952380952381,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,68,2,0.9761904761904762,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,37,3,0.9642857142857143,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,66,4,0.9523809523809523,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,67,5,0.9404761904761905,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,65,6,0.9285714285714286,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,34,7,0.9166666666666666,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,64,8,0.9047619047619048,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,33,9,0.8928571428571429,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
ash85,INCIDENCE_DEGREE,4,35,10,0.8809523809523809,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\colpack_outputs_week15_extra_orderings\ash85_incidence_degree.txt,C:\Users\riyat\Documents\Thesis Implementations\results\tables\initial_graph_coloring_benchmarks\colpack_week15_five_ordering_benchmark.csv
